User,CouponCode,category,Redeemed,CouponDiscount,MinAmountSpend,Company
60-7381094,WWK7714,Baby,TRUE,42,6134,Avavee
29-4802789,ZFL0156,Clothing,FALSE,43,4479,Yodel
33-3805553,XFU2936,Health,TRUE,23,7586,Midel
47-3745980,ESE9831,Sports,FALSE,41,299,Browsezoom
09-4324019,IRX0703,Books,FALSE,31,4020,Oloo
20-9486613,CWM8141,Outdoors,TRUE,27,5474,Blogtag
11-2919051,CMC3684,Outdoors,FALSE,23,7925,Blogspan
44-3640154,EZX3281,Beauty,FALSE,49,9788,Yata
66-0288128,BJP5441,Sports,TRUE,11,1291,Brightdog
56-5397915,WRT0906,Shoes,TRUE,16,9393,Plambee
41-1918918,ZIW2948,Baby,TRUE,26,2413,Abata
44-2434184,HBQ6833,Industrial,FALSE,13,9481,Trudoo
35-5853262,MDZ4918,Books,FALSE,23,3025,Avaveo
42-6446183,OJA4732,Tools,TRUE,31,5779,Twiyo
67-6555949,YIJ3714,Tools,FALSE,41,665,Twitterworks
07-4671524,LXG1182,Books,FALSE,47,6492,Cogibox
40-6769544,GZV4793,Beauty,FALSE,21,3589,Bubbletube
18-4531012,SEY1004,Automotive,TRUE,43,1941,Aibox
18-1881247,FLD0813,Industrial,TRUE,43,7561,Aivee
16-5808169,MHI1670,Outdoors,FALSE,12,2881,Chatterbridge
42-2149777,KIN3874,Toys,FALSE,30,774,Feedbug
17-3258351,VFW7561,Baby,FALSE,16,4948,Linkbuzz
27-9869738,YYK7336,Books,TRUE,32,8385,Flashdog
84-3371811,RDK6548,Health,TRUE,25,2668,Youtags
08-6961570,XIZ3104,Movies,TRUE,43,1126,Shufflester
34-7657848,EZL3795,Music,TRUE,11,7128,Twitterwire
35-8576238,ODP1287,Health,FALSE,16,3198,Centimia
39-4537723,DCF6261,Games,TRUE,37,444,Vitz
00-9089939,UOZ2132,Shoes,FALSE,38,7990,Lazzy
46-0982936,WTA3339,Movies,TRUE,14,8405,Jayo
04-3339897,CEB4124,Computers,FALSE,42,3961,Gevee
88-7768504,PYS8635,Toys,TRUE,36,4080,Buzzshare
29-5197684,MJX7087,Games,FALSE,10,8995,Vinder
52-5668063,HAG4640,Computers,TRUE,34,286,Latz
15-1612868,FOM1631,Baby,FALSE,19,6497,Dabfeed
18-3375409,GJE9143,Grocery,FALSE,25,2886,Topiclounge
83-2708471,FYY1882,Beauty,TRUE,15,2229,Kayveo
47-5351162,CTE4383,Kids,FALSE,43,691,Skipfire
73-0474731,ZAO8778,Books,TRUE,12,5103,Youtags
96-6788545,MRO5916,Garden,TRUE,49,280,Photobean
41-5903646,PUI9704,Outdoors,FALSE,16,7126,Dazzlesphere
84-3953258,BEA9980,Kids,TRUE,17,9775,Latz
10-0326551,IHV2974,Movies,TRUE,25,963,Skyba
63-0293678,ORT2604,Baby,FALSE,14,8294,Skinder
17-9102301,XDA9810,Health,FALSE,12,639,Blogtags
26-6332648,WBA8361,Industrial,TRUE,45,2907,Shuffletag
10-8381142,LHN3976,Grocery,FALSE,40,2040,Realbuzz
29-2901220,QSW5434,Shoes,FALSE,31,8349,Camimbo
63-2276393,RLJ0476,Shoes,FALSE,50,1776,Aimbo
31-9252285,DUF7951,Shoes,FALSE,11,9905,Edgewire
20-3804823,SWB2029,Games,TRUE,43,9434,Linkbuzz
43-1443976,VAW2186,Sports,FALSE,16,2737,Pixoboo
18-8428476,HWW7518,Shoes,TRUE,38,5853,Gigazoom
96-5565645,YJX0302,Jewelry,TRUE,42,8598,Twinder
72-1890587,IWU1146,Garden,FALSE,15,8961,Digitube
02-2231897,NZR0137,Baby,FALSE,17,784,Wikizz
44-4240312,YBP1812,Shoes,TRUE,24,9827,Leexo
27-5002233,UOG7846,Music,TRUE,43,6474,Twitternation
75-1164403,GKP7387,Electronics,FALSE,33,2264,Eire
88-7122325,ABQ6599,Shoes,FALSE,15,1773,Meejo
15-6011570,TUG6489,Outdoors,FALSE,10,6913,Janyx
68-9631774,ABB9939,Beauty,TRUE,24,2373,Centizu
65-4304518,OGQ2898,Movies,TRUE,49,4459,Meembee
13-7570211,UUV1329,Grocery,FALSE,31,3073,Quimm
52-8294931,NIC9645,Tools,FALSE,10,7054,Izio
14-7565227,PTN6580,Beauty,FALSE,20,2760,Photobug
62-4400377,TVP1071,Tools,TRUE,33,7138,Oyoloo
17-0903575,ZGH4990,Electronics,FALSE,38,729,Trudoo
14-1118522,JQW0609,Tools,FALSE,21,7936,Janyx
44-7165006,UJB5564,Beauty,TRUE,34,3717,Npath
77-5359146,JTM2487,Kids,FALSE,39,1352,Wikizz
65-9810609,NXY2258,Industrial,FALSE,21,5178,Yata
06-1897291,RQL3636,Health,TRUE,44,5089,Kayveo
22-8147065,BGD8322,Shoes,TRUE,36,325,Twinder
92-5832058,MZG1694,Home,FALSE,43,8851,Wikido
66-4925371,PBL8787,Games,FALSE,34,9381,Flipstorm
43-2039179,ZCA3293,Games,TRUE,39,3131,Trilia
08-9769367,BOK8140,Beauty,TRUE,19,4413,Blogtags
94-3140565,GVX8890,Outdoors,FALSE,29,6206,Zazio
18-3113517,WGO3688,Movies,TRUE,38,7837,Twimm
08-7997801,QNA2345,Beauty,TRUE,19,8400,Minyx
54-2114650,GJN5069,Shoes,TRUE,26,6332,Jabbersphere
42-3728483,RZP9813,Computers,TRUE,17,7596,Edgetag
85-6534023,LGC5667,Electronics,FALSE,25,7807,Vidoo
11-0812400,OZZ4642,Outdoors,FALSE,15,3156,Zoovu
28-5376245,JDQ0022,Industrial,FALSE,29,3713,Plajo
33-1710618,AGY8114,Games,TRUE,50,9324,Twinte
20-0023364,VNW7657,Beauty,TRUE,39,3962,Brainbox
51-8686294,UZS0622,Computers,TRUE,35,9957,Zooxo
11-6788199,QVQ2004,Garden,TRUE,43,3686,Yakitri
03-1925396,CZZ7839,Home,FALSE,42,4884,Layo
07-6449049,DQU5887,Books,TRUE,18,4920,Bubblemix
63-2827827,YGC4130,Garden,TRUE,18,8177,Cogilith
86-4815731,UDB3602,Industrial,TRUE,14,6445,Linklinks
26-1096371,PWC8303,Jewelry,FALSE,39,8806,DabZ
99-2703025,OWN6228,Clothing,FALSE,16,4477,Mydo
16-1267191,BYT4409,Shoes,TRUE,28,430,Rhyzio
06-0975417,PFU7551,Books,TRUE,12,8398,Ntags
43-5777810,MSQ4564,Baby,TRUE,14,1057,Yoveo
29-2131276,CNT6207,Grocery,FALSE,33,546,Livetube
06-8414644,FXJ8926,Books,FALSE,44,5243,Meemm
04-3128297,NVV3721,Health,TRUE,26,779,Skilith
83-7477626,HDX2781,Health,FALSE,48,4691,Layo
23-5388545,UPY4110,Jewelry,FALSE,27,5992,Thoughtsphere
54-9717589,VNR0265,Music,FALSE,50,7816,Ntag
71-9909614,OJU0643,Electronics,FALSE,26,5214,Kayveo
62-7851935,ORB0950,Books,TRUE,48,3150,Kwimbee
14-3356681,SEI6725,Shoes,FALSE,50,848,Zoombox
25-8299545,TAA8007,Health,TRUE,22,1535,Jabbersphere
19-5887542,FMI5239,Games,FALSE,50,6075,Skiba
68-3240155,YQY7345,Tools,FALSE,40,2031,Mynte
19-6153494,LKY9981,Outdoors,TRUE,48,4147,Rhyloo
04-3824729,HHC5004,Home,TRUE,15,448,Wordpedia
87-4329494,RFD8088,Automotive,TRUE,15,3588,Centimia
81-4913605,BKZ0336,Automotive,FALSE,21,7115,Innojam
11-3366087,SFN1137,Health,FALSE,28,627,Realcube
68-8690802,RHU7931,Toys,FALSE,22,2753,Youtags
69-4499690,WLH3926,Computers,FALSE,29,2498,Agimba
68-0590959,QHV0188,Computers,FALSE,47,3316,Skippad
01-9449677,NQN9440,Baby,FALSE,47,9300,Gabvine
22-9744303,CLA6108,Movies,FALSE,24,5681,Vimbo
29-5033033,VOW5958,Electronics,FALSE,17,8606,Kwinu
64-9568292,INR5798,Health,FALSE,36,1403,Midel
98-3289201,ADV3521,Grocery,FALSE,29,1105,Skiptube
61-9470805,ZSL3029,Baby,TRUE,43,4857,Eare
02-9674714,BHO7644,Jewelry,TRUE,49,8156,Zoozzy
26-6493018,BML1257,Movies,TRUE,43,1449,Vinte
84-7998688,CDR2930,Beauty,TRUE,25,5857,Muxo
62-4374911,IYD8466,Kids,FALSE,30,4708,Blogpad
89-5837691,FQC5925,Outdoors,FALSE,42,9777,Dablist
74-8247009,OFJ2764,Industrial,TRUE,28,5726,Kazio
95-3640045,XZX4080,Outdoors,TRUE,31,2971,Realfire
79-5826040,PDF8593,Beauty,TRUE,26,3553,Buzzster
